Variable;Definición conceptual;Definición operacional;Dimensión;Indicador (instrumento);Trazabilidad CU-T10;Ítem;Redacción del ítem (reactivo);Escala / niveles;Técnica;Instrumento;Momento;Validación y sustento
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D2: Exactitud y validación del IRE y modelos predictivos;Utilidad de clasificación en situaciones de alto riesgo;VD-D2 ind. 6 — AUC-ROC clasificador (condicional a eventos etiquetados);12;Cuando existen eventos de crisis identificados, el [método actual / sistema implementado] clasifica adecuadamente las situaciones de alto riesgo empresarial.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Condicional (doc 07); comparación pre/post. Sustento: Barboza 2017; Du Jardin 2021; Khalid 2022."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D3: Componentes del Índice de Riesgo Empresarial (IRE);Representatividad del valor compuesto IRE global;VD-D3 ind. 1 — Valor compuesto IRE (0–100);13;El valor compuesto del IRE (escala 0–100) representa adecuadamente el nivel de riesgo empresarial global.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; contraste ireHistorial (Supabase). Sustento: Altman 1968; Beaver 1966; Barboza 2017; doc 07."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D3: Componentes del Índice de Riesgo Empresarial (IRE);Representatividad del componente riesgo_stock;VD-D3 ind. 2 — Componente riesgo_stock (subíndice);14;El subíndice riesgo_stock representa adecuadamente los problemas de inventario de la empresa.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; contraste registros Supabase. Sustento: Choi 2018; Fildes 2022; doc 07."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D3: Componentes del Índice de Riesgo Empresarial (IRE);Representatividad del componente riesgo_ingresos;VD-D3 ind. 3 — Componente riesgo_ingresos (subíndice);15;El subíndice riesgo_ingresos ayuda a anticipar problemas relacionados con el flujo comercial de la empresa.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; juicio de expertos. Sustento: Altman 1968; Beaver 1966; Melville 2004."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D3: Componentes del Índice de Riesgo Empresarial (IRE);Representatividad del componente riesgo_demanda;VD-D3 ind. 4 — Componente riesgo_demanda (subíndice);16;El subíndice riesgo_demanda ayuda a planificar oportunamente las compras de calzado.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; contraste ventas históricas. Sustento: Makridakis 2018; Fildes 2022."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D3: Componentes del Índice de Riesgo Empresarial (IRE);Utilidad de alertas tempranas del IRE;VD-D3 ind. 5 — Alerta temprana: IRE ≥ 51 (alto) o ≥ 76 (crítico);17;Las alertas del IRE (≥ 51 riesgo alto, ≥ 76 riesgo crítico) son útiles y oportunas para la gestión preventiva.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Prueba piloto; contraste panel AdminPredictions. Sustento: Paleyes 2022; Martinez-Fernandez 2022; doc 07."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D3: Componentes del Índice de Riesgo Empresarial (IRE);Adecuación de la frecuencia de actualización del IRE;VD-D3 ind. 6 — Frecuencia actualización automática IRE;18;La frecuencia de actualización del IRE es suficiente para la gestión operativa de la empresa.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; validación operativa. Sustento: Choi 2018; Lepenioti 2020; Paleyes 2022."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D4: Impacto del sistema en la gestión operativa de la PYME;Percepción de reducción del riesgo operativo;VD-D4 ind. 1 — Reducción riesgo operativo percibido (Likert);19;Percibo que el riesgo operativo de la empresa ha disminuido gracias al [método actual / sistema implementado].;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Comparación pre/post (O₁ vs O₂). Sustento: Melville 2004; Choi 2018; Lepenioti 2020."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D4: Impacto del sistema en la gestión operativa de la PYME;Percepción de mejora en cumplimiento de pedidos;VD-D4 ind. 2 — Mejora tasa cumplimiento de pedidos (%);20;La tasa de cumplimiento de pedidos ha mejorado con el uso del [método actual / sistema implementado].;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; contraste logs Supabase. Sustento: Fildes 2022; Choi 2018; Reinartz 2019."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D4: Impacto del sistema en la gestión operativa de la PYME;Percepción de reducción de quiebres de stock;VD-D4 ind. 3 — Reducción quiebres de stock (conteo O₁ vs O₂);21;Los quiebres de stock han disminuido con la gestión basada en predicción de riesgo.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Contraste registros pre/post; CU-T09 ES3. Sustento: Choi 2018; Reinartz 2019; Melville 2004."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D4: Impacto del sistema en la gestión operativa de la PYME;Percepción de ahorro en gestión de inventario;VD-D4 ind. 4 — Ahorro estimado gestión inventario (S/.);22;La gestión de inventario genera ahorro gracias a la información del [método actual / sistema implementado].;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Contraste registros inventario; alfa ≥ 0,70. Sustento: Choi 2018; Melville 2004."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D4: Impacto del sistema en la gestión operativa de la PYME;Frecuencia de uso del dashboard IRE;VD-D4 ind. 5 — Tasa adopción dashboard IRE (% sesiones admin);23;El personal utiliza con frecuencia el dashboard del IRE para apoyar decisiones operativas.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; logs sesiones admin. Sustento: Paleyes 2022; Verhoef 2021; Soto-Acosta 2020."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D4: Impacto del sistema en la gestión operativa de la PYME;Mejora global de la gestión del riesgo empresarial;VD-D4 ind. 6 — Percepción mejora gestión riesgo (ítem 24);24;En general, el [método actual / sistema implementado] mejora la gestión del riesgo empresarial en Calzatura Vilchez.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Consistencia interna total; alfa de Cronbach ≥ 0,70. Sustento: Melville 2004; Verhoef 2021; Lepenioti 2020."
