ID_prueba,Requisito_RF,Modulo,Descripcion,Precondicion,Resultado_esperado,Tipo,Estado
TC-SALE-002,RF ventas / IN-22,AdminSales,Cantidad mayor al stock disponible bloquea agregar la línea,Talla 42 con stock=1; cantidad ingresada = 5,"Toast 'La cantidad supera el stock disponible para esa talla'; RPC no llamado",E2E automatizado,Pasado
TC-SALE-003,RF ventas / IN-21,AdminSales,Devolución sin motivo no llama restore_product_stock,Venta existente en tabla; textarea vacío; clic en Confirmar devolución,"Toast 'Escribe el motivo de la devolución'; RPC no llamado",E2E automatizado,Pasado
TC-SALE-004,RF ventas / IN-21 + IN-22,AdminSales,Devolución con motivo llama restore_product_stock,Venta existente; motivo 'Talla equivocada'; clic en Confirmar devolución,"RPC restore_product_stock interceptado; toast 'Devolución registrada y stock restaurado'",E2E automatizado,Pasado
TC-ORD-001,RF administración / pedidos,AdminOrders,Filtro por estado 'pendiente' reduce la lista al subconjunto correcto,2 pedidos moqueados (1 pendiente 1 pagado); filtro = pendiente,"Solo 1 tarjeta visible; email del pedido pendiente visible",E2E automatizado,Pasado
TC-ORD-002,RF administración / pedidos,AdminOrders,Click en cabecera expande el detalle; segundo click lo colapsa,2 pedidos moqueados,"order-card-body visible tras primer click; no visible tras segundo click",E2E automatizado,Pasado
TC-ORD-003,RF administración / pedidos,AdminOrders,Cambio de estado en select llama PATCH y muestra toast,2 pedidos moqueados; cambio a 'pagado',"PATCH a /rest/v1/pedidos interceptado; toast 'Estado actualizado' visible",E2E automatizado,Pasado
TC-USR-001,RF administración / roles,AdminUsers,KPIs por rol reflejan los 4 usuarios moqueados,4 usuarios (1 admin propio + 1 cliente + 1 trabajador + 1 admin ajeno),"strong de Clientes=1; Trabajadores=1; Administradores=2",E2E automatizado,Pasado
TC-USR-002,RF administración / roles,AdminUsers,Filtro por 'clientes' muestra solo la fila del cliente,4 usuarios moqueados; filtro = cliente,"1 fila visible; contiene cliente@test.com",E2E automatizado,Pasado
TC-USR-003,RF administración / roles,AdminUsers,Select de rol de la propia cuenta del admin autenticado está deshabilitado (autoprotección),Usuario admin autenticado en la lista; su propia fila,"select.admin-role-select de la fila con FAKE_ADMIN_EMAIL tiene atributo disabled",E2E automatizado,Pasado
TC-USR-004,RF administración / roles + WCAG,AdminUsers,Error RLS 42501 en PATCH muestra 'Sin permisos' sin código técnico,PATCH retorna 403 code=42501,"Toast 'Sin permisos para realizar esta operación.' visible; texto '42501' no visible",E2E automatizado,Pasado
TC-MFR-001,RF administración / fabricantes,AdminManufacturers,Pantalla carga con lista de fabricantes y stats visibles,2 fabricantes moqueados (1 activo 1 inactivo),"'MarcaActiva' y 'MarcaInactiva' visibles",E2E automatizado,Pasado
TC-MFR-002,RF administración / fabricantes,AdminManufacturers,Filtro 'inactivos' muestra solo fabricantes inactivos,2 fabricantes; filtro = inactivos,"'MarcaInactiva' visible; 'MarcaActiva' no visible",E2E automatizado,Pasado
TC-MFR-003,RF administración / fabricantes,AdminManufacturers,Aceptar confirm en borrar llama DELETE y muestra toast,1 fabricante moqueado; dialog aceptado,"DELETE a /rest/v1/fabricantes interceptado; toast 'Fabricante eliminado' visible",E2E automatizado,Pasado
TC-PRED-001,RF administración / IA,AdminPredictions,Timeout del servicio IA muestra mensaje de cold start y botón Reintentar,Ruta /api/predict/** abortada con timedout,"Texto 'tardó demasiado' o 'primera carga del día' visible; botón Reintentar visible",E2E automatizado,Pasado
TC-PRED-002,RF administración / IA,AdminPredictions,Respuesta exitosa del servicio IA renderiza predicción en tabla,Mock /api/predict/combined con 1 producto,"'Zapatilla E2E Pred' visible en la tabla de predicciones",E2E automatizado,Pasado
TC-DATA-001,RF administración / datos,AdminData,Pantalla carga con título 'Gestión de Datos Excel',Mocks Supabase vacíos; GET todos los tablas = [],"Texto 'Gestión de Datos Excel' visible",E2E automatizado,Pasado
TC-DATA-002,RF administración / datos,AdminData,Botón 'Plantilla' visible y habilitado para la primera colección,Pantalla cargada,"Botón con text 'Plantilla' visible y enabled",E2E automatizado,Pasado
TC-SMOKE-001,RF administración / smoke,AdminDashboard,/admin renderiza heading 'Dashboard',Mocks genéricos Supabase vacíos + IA con respuesta mínima,"getByRole heading name=/Dashboard/ visible",E2E automatizado,Pasado
TC-SMOKE-002,RF administración / smoke,AdminProducts,/admin/productos renderiza heading 'Productos',Idem,"getByRole heading name=/Productos/ visible",E2E automatizado,Pasado
TC-SMOKE-003,RF administración / smoke,AdminOrders,/admin/pedidos renderiza heading 'Pedidos',Idem,"getByRole heading name=/Pedidos/ visible",E2E automatizado,Pasado
TC-SMOKE-004,RF administración / smoke,AdminSales,/admin/ventas renderiza heading 'Consulta y registro de ventas',Idem,"getByRole heading name=/Consulta y registro/ visible",E2E automatizado,Pasado
TC-SMOKE-005,RF administración / smoke,AdminUsers,/admin/usuarios renderiza heading 'Usuarios registrados',Idem,"getByRole heading name=/Usuarios registrados/ visible",E2E automatizado,Pasado
TC-SMOKE-006,RF administración / smoke,AdminManufacturers,/admin/fabricantes renderiza heading 'Fabricantes',Idem,"getByRole heading name=/Fabricantes/ visible",E2E automatizado,Pasado
TC-SMOKE-007,RF administración / smoke,AdminPredictions,/admin/predicciones renderiza heading 'Inteligencia Artificial',IA mock con respuesta mínima exitosa (predicciones vacías),"getByRole heading name=/Inteligencia Artificial/ visible",E2E automatizado,Pasado
TC-SMOKE-008,RF administración / smoke,AdminData,/admin/datos renderiza heading 'Gestión de Datos Excel',Idem,"getByRole heading name=/Gestión de Datos/ visible",E2E automatizado,Pasado
